精简文本数据_标准化 目录 清理报告 (仅删除展览/活动预告)
------------------------------------------------------------
来源文件 | ID | 活动标题
File: merged_2.md | ID: ID_0369 | Title: AMNUA毕业展 | 服设毕业作品抢先看（二）+服装秀邀请函大放送
File: merged_3.md | ID: ID_0407 | Title: 【展览预告】曾经沧海 ——南京艺术学院藏刘海粟作品陈列展
File: merged_3.md | ID: ID_0427 | Title: 【曾经沧海】刘海粟陈列展油画作品抢先看
File: merged_3.md | ID: ID_0444 | Title: 【展览预告】天空SKY——国际影像展（2014.05.06—2014.05.23）
File: merged_4.md | ID: ID_0475 | Title: 【展览预告】游园——陆诚个展
File: merged_4.md | ID: ID_0481 | Title: 【展览预告】水·墨·彼·此——两岸艺术家学术交流展
File: merged_4.md | ID: ID_0490 | Title: 【倒计时7天】南京艺术学院设计学院2014届毕业设计展即将开幕
File: merged_5.md | ID: ID_0542 | Title: 【复调II·中国艺术生态调查：北京站】纪录片预告 震撼出炉！
File: merged_5.md | ID: ID_0545 | Title: 【展览预告】显影：国际手工印相摄影展（2014.09.05—2014.09.14）
File: merged_5.md | ID: ID_0546 | Title: 【展览预告】零方案第八回：转塘拆迁区驻地创作计划
File: merged_5.md | ID: ID_0561 | Title: 【本周展览】耿雪作品《海公子》明日首映
File: merged_6.md | ID: ID_0581 | Title: 【讲座预告】从色彩到渐变色环——论马奈
File: merged_6.md | ID: ID_0582 | Title: 【公教预告】“非常体验”——丝网印刷工作坊
File: merged_6.md | ID: ID_0587 | Title: 【讲座预告】身体博物馆：厉槟源谈自身创作
File: merged_6.md | ID: ID_0594 | Title: 【公教预告】定格的记忆
File: merged_6.md | ID: ID_0595 | Title: 【公教预告】微观的神奇世界
File: merged_6.md | ID: ID_0601 | Title: 【公教预告】小小泥塑家
File: merged_6.md | ID: ID_0606 | Title: 【展览预告】自然之名——风景画与山水画邀请展
File: merged_6.md | ID: ID_0607 | Title: 【展览预告】零方案第九回  “寸光阴：倪有鱼个人项目”
File: merged_6.md | ID: ID_0609 | Title: 【展览预告】零方案 第九回：“寸光阴”倪有鱼个人项目
File: merged_6.md | ID: ID_0610 | Title: 【讲座预告】“自然之名——风景画与山水画邀请展”系列讲座
File: merged_6.md | ID: ID_0611 | Title: 【公教预告】青年文化艺术沙龙：古着Party
File: merged_6.md | ID: ID_0621 | Title: 【项目预告】可动恰恰：一点音乐和艺术的游戏！
File: merged_6.md | ID: ID_0624 | Title: 【讲座预告】David Clark : 玩乐之地
File: merged_6.md | ID: ID_0625 | Title: 【公教预告】赴一场名为“复古”的盛宴
File: merged_6.md | ID: ID_0626 | Title: 【展览预告】年度大展：“L.S.洛瑞：艺术家·人民”
File: merged_6.md | ID: ID_0627 | Title: 【展览预告】影像档案 第七回：《白沫》
File: merged_6.md | ID: ID_0628 | Title: 【公教预告】“复调II”：奇遇泥塑
File: merged_6.md | ID: ID_0630 | Title: 【展览预告】周京新画展
File: merged_6.md | ID: ID_0635 | Title: 【展览预告】“或此或彼”——洪磊2014作品展
File: merged_6.md | ID: ID_0636 | Title: 【展览预告】英国人民最喜爱的艺术家L.S.洛瑞中国首展即将亮相我馆
File: merged_6.md | ID: ID_0640 | Title: 【展览预告】L.S.洛瑞：艺术家•人民
File: merged_7.md | ID: ID_0643 | Title: 【公教预告】“复调II”：最后的狂欢
File: merged_7.md | ID: ID_0646 | Title: 【学术预告】当代艺术家影像志《隐秘的线索：洪磊》明日首映
File: merged_7.md | ID: ID_0649 | Title: 【讲座预告】Laurent-Max De Cock：心手之间
File: merged_7.md | ID: ID_0654 | Title: 【展览预告】邱志杰：《南京长江大桥自杀干预计划（五）——齐物》
File: merged_7.md | ID: ID_0655 | Title: 【展览预告】高山流水——中国山水画展
File: merged_7.md | ID: ID_0657 | Title: 【展览预告】当代艺术家邱志杰携 《南京长江大桥自杀干预计划（五）——齐物》来宁！
File: merged_7.md | ID: ID_0658 | Title: 【展览预告】“高山流水——中国山水画展” 策展人语
File: merged_7.md | ID: ID_0662 | Title: 【展览预告】邱志杰谈“齐物”
File: merged_7.md | ID: ID_0665 | Title: 【公教预告】非常体验：拼布工作坊
File: merged_7.md | ID: ID_0668 | Title: 【讲座预告】洪磊：摄影的观看
File: merged_7.md | ID: ID_0669 | Title: 【公教预告】喜物会
File: merged_7.md | ID: ID_0680 | Title: 【公教预告】怡心工坊：“心灵SPA” 系列工作坊
File: merged_7.md | ID: ID_0682 | Title: 【公教预告】遇见二次元：《我为歌狂》&amp;《十万个冷笑话》导演强强来袭
File: merged_7.md | ID: ID_0683 | Title: 【开幕倒计时：1天】《L.S.洛瑞：艺术家·人民》作品抢先看
File: merged_7.md | ID: ID_0705 | Title: 【公教预告】讲座：工业革命背景下的英国文学创作
File: merged_7.md | ID: ID_0707 | Title: 【活动预告】当代剧场青年邀请周
