日期,合作类别,机构名称,地理层级
2016.03.25,主办,Endless Architects將為木人節提供就地取材,其他
2016.03.25,主办,由自然材料搭建的臨時建築,其他
2016.03.25,主办,為木人節提供臨時活動發生場地。通過在木人節中调配社交元素,其他
2016.03.25,主办,資源整合與活動事件,其他
2016.03.25,主办,構建出長三角地區基於設計師,其他
2016.03.25,主办,藝術家們的流動社區。,其他
2016.03.26,协办,江苏美基文化艺术有限公司,江苏地区
2016.06.12,赞助,「劳森伯格在中国」回顾展,全国
2016.07.10,赞助,「劳森伯格在中国」回顾展,全国
2016.10.16,主办,法国驻华大使馆,国际
2016.10.16,主办,南京法语联盟,江苏地区
2016.10.18,主办,法国驻华大使馆,国际
2016.10.18,主办,南京法语联盟,江苏地区
2016.10.19,主办,一分钟影像基金会（荷兰） The One Minutes Foundation,国际
2016.10.21,主办,一分钟影像基金会（荷兰） The One Minutes Foundation,国际
2016.11.03,主办,一分钟影像基金会（荷兰） The One Minutes Foundation,国际
2017.09.13,赞助,RANDOMEVENT,其他
2017.09.30,协办,UNAC TOKYO,其他
2017.10.06,协办,UNAC TOKYO,其他
2017.10.09,协办,UNAC TOKYO,其他
2017.10.11,协办,UNAC TOKYO,其他
2017.10.12,协办,UNAC TOKYO,其他
2017.10.13,协办,UNAC TOKYO,其他
2017.10.19,协办,UNAC TOKYO,其他
2017.10.20,协办,UNAC TOKYO,其他
2017.10.25,协办,UNAC TOKYO,其他
2017.10.31,协办,UNAC TOKYO,其他
2017.11.24,主办,上海大学上海美术学院,长三角地区
2017.11.24,主办,上海大学上海美术学院,长三角地区
2017.11.25,主办,上海大学上海美术学院,长三角地区
2017.11.25,主办,上海大学上海美术学院,长三角地区
2018.04.18,主办,歌德学院（中国）,国际
2018.04.18,主办,歌德学院（中国）,国际
2018.04.19,主办,歌德学院（中国）,国际
2018.04.20,主办,歌德学院（中国）,国际
2018.04.23,主办,歌德学院（中国）,国际
2018.04.24,主办,歌德学院（中国）,国际
2018.04.27,主办,歌德学院（中国）,国际
2018.04.29,主办,歌德学院（中国）,国际
2018.08.30,主办,中国美术家协会壁画艺术委员会,全国
2018.08.30,协办,贝尊艺术文化传播有限公司,其他
2018.09.07,支持,在艺APP,其他
2018.11.13,主办,歌德学院（中国）,国际
2018.11.15,主办,歌德学院（中国）,国际
2018.12.04,主办,\\,其他
2019.03.01,协办,歌德学院（中国）,国际
2019.03.04,主办,中国国家画院,全国
2019.03.17,协办,歌德学院（中国）,国际
2019.03.20,协办,歌德学院（中国）,国际
2019.03.20,主办,歌德学院（中国）,国际
2019.03.20,主办,歌德学院（中国）,国际
2019.03.21,协办,歌德学院（中国）,国际
2019.03.21,主办,歌德学院（中国）,国际
2019.04.07,协办,歌德学院（中国）,国际
2019.04.09,协办,歌德学院（中国）,国际
2019.04.17,协办,歌德学院（中国）,国际
2019.04.18,协办,歌德学院（中国）,国际
2019.04.23,协办,歌德学院（中国）,国际
2019.05.03,主办,中国美术学院跨媒体艺术学院,全国
2019.05.03,承办,AME影视计划,其他
2019.05.03,承办,中国美术学院空间影像研究所,全国
2019.06.17,主办,\\,其他
2019.06.17,承办,\\,其他
2019.06.17,协办,\\,其他
2019.10.18,特别鸣谢,舞蹈学院18级中国舞编导,全国
2019.10.24,特别鸣谢,舞蹈学院18级中国舞编导,全国
2019.11.05,学术支持,德国卡塞尔艺术学院,国际
2019.11.05,学术支持,南京北河身体剧场,江苏地区
2019.11.20,协办,北京工业大学艺术设计学院,其他
